Date,Location ISO Code,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Location Level,City or Regency,Province,Country,Continent,Island,Time Zone,Special Status,Total Regencies,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,Longitude,Latitude,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Total Deaths per 100rb,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths
2022-07-14,ID-JT,Jawa Tengah,85,3,56,26,628886,33332,594821,733,Province,,Jawa Tengah,Indonesia,Asia,Jawa,UTC+07:00,,29,6.0,576,753.0,7809.0,32801,36364072,1108.64,110.2011149,-7.259097177,2.34,17294.16,0.08,916.62,91.66,5.30%,94.58%,1.1,1.0
2022-03-21,ID-KI,Kalimantan Timur,170,3,976,-809,204824,5662,195576,3586,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,47.86,57661.31,0.84,1593.95,159.39,2.76%,95.48%,1.43,1.0
2020-06-20,ID-BA,Bali,35,1,9,25,1006,6,355,645,Province,,Bali,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,1.0,57,80.0,636.0,5780,4216171,729.43,115.1317136,-8.369471688,8.3,238.61,0.24,1.42,0.14,0.60%,35.29%,0.43,
2020-06-27,ID-SU,Sumatera Utara,75,5,18,52,1443,91,384,968,Province,,Sumatera Utara,Indonesia,Asia,Sumatera,UTC+07:00,,25,8.0,450,693.0,5417.0,72981,14874889,203.82,99.05196442,2.191894453,5.04,97.01,0.34,6.12,0.61,6.31%,26.61%,5.36,1.25
2022-09-15,ID-BB,Kepulauan Bangka Belitung,10,0,0,10,66144,1616,64455,73,Province,,Kepulauan Bangka Belitung,Indonesia,Asia,Sumatera,UTC+07:00,,6,1.0,47,82.0,309.0,16424,1379767,84.01,106.5499324,-2.447444127,7.25,47938.53,0.0,1171.21,117.12,2.44%,97.45%,5.0,1.0
2022-08-31,ID-LA,Lampung,23,0,7,16,75227,4183,70837,207,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2.0,228,205.0,2435.0,34624,9095591,262.7,105.0214366,-4.916792975,2.53,8270.71,0.0,459.89,45.99,5.56%,94.16%,0.92,1.0
2020-11-29,ID-JI,Jawa Timur,393,32,267,94,61527,4924,57097,-494,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9.0,666,777.0,7724.0,47803,40479023,846.78,112.7329414,-7.723345579,9.71,1519.97,0.79,121.64,12.16,8.00%,92.80%,0.89,1.0
2020-08-12,ID-JT,Jawa Tengah,181,20,137,24,13956,1059,9345,3552,Province,,Jawa Tengah,Indonesia,Asia,Jawa,UTC+07:00,,29,6.0,576,753.0,7809.0,32801,36364072,1108.64,110.2011149,-7.259097177,4.98,383.79,0.55,29.12,2.91,7.59%,66.96%,2.1,6.67
2022-04-01,ID-BE,Bengkulu,4,0,17,-13,29068,514,27959,595,Province,,Bengkulu,Indonesia,Asia,Sumatera,UTC+07:00,,9,1.0,129,172.0,1341.0,19919,1999539,100.38,102.3384213,-3.533583627,2.0,14537.35,0.0,257.06,25.71,1.77%,96.18%,0.31,1.0
2020-09-24,ID-SN,Sulawesi Selatan,162,3,72,87,14729,403,10860,3466,Province,,Sulawesi Selatan,Indonesia,Asia,Sulawesi,UTC+08:00,,21,3.0,311,792.0,2255.0,46717,9426885,201.78,120.1620559,-3.731080714,17.18,1562.45,0.32,42.75,4.28,2.74%,73.73%,1.32,3.0
2021-03-23,ID-KR,Kepulauan Riau,15,0,6,9,9008,226,8583,199,Province,,Kepulauan Riau,Indonesia,Asia,Sumatera,UTC+07:00,,5,2.0,75,142.0,275.0,8202,1929400,235.24,108.261746,3.916346,7.77,4668.81,0.0,117.13,11.71,2.51%,95.28%,0.45,0.0
2021-08-21,ID-KU,Kalimantan Utara,241,5,383,-147,29891,615,22712,6564,Province,,Kalimantan Utara,Indonesia,Asia,Kalimantan,UTC+08:00,,4,1.0,53,35.0,447.0,75468,648407,8.59,116.2188791,2.891012621,371.68,46099.13,7.71,948.48,94.85,2.06%,75.98%,0.67,0.56
2022-02-28,ID-YO,Daerah Istimewa Yogyakarta,1253,15,621,617,191589,5385,157985,28219,Province,,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1.0,78,46.0,392.0,3133,3631015,1158.9,110.4448783,-7.89450185,345.08,52764.59,4.13,1483.06,148.31,2.81%,82.46%,0.61,1.15
2022-08-23,ID-NB,Nusa Tenggara Barat,1,0,3,-2,36220,901,35291,28,Province,,Nusa Tenggara Barat,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,2.0,117,145.0,995.0,18572,5270247,283.77,117.5086257,-8.606998866,0.19,6872.54,0.0,170.96,17.1,2.49%,97.44%,1.0,1.0
2021-01-26,ID-PB,Papua Barat,20,0,29,-9,6584,107,5917,560,Province,,Papua Barat,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,12,1.0,218,95.0,1742.0,102955,1140701,11.08,132.9762624,-2.045160182,17.53,5771.89,0.0,93.8,9.38,1.63%,89.87%,0.65,1.0
2022-02-23,ID-NB,Nusa Tenggara Barat,228,4,333,-109,34540,855,30088,3597,Province,,Nusa Tenggara Barat,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,2.0,117,145.0,995.0,18572,5270247,283.77,117.5086257,-8.606998866,43.26,6553.77,0.76,162.23,16.22,2.48%,87.11%,0.82,1.33
2021-02-11,ID-JK,DKI Jakarta,2513,51,4096,-1634,306221,4769,278857,22595,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,,664,10846145,16334.31,106.8361183,-6.204698991,231.7,28233.16,4.7,439.7,43.97,1.56%,91.06%,0.76,1.19
2020-09-09,ID-BT,Banten,37,5,53,-21,3322,150,2856,316,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4.0,155,313.0,1238.0,9663,10722374,1109.64,106.1090043,-6.456736388,3.45,309.82,0.47,13.99,1.4,4.52%,85.97%,0.65,2.5
2020-10-25,ID-MA,Maluku,21,0,98,-77,3739,46,3027,666,Province,,Maluku,Indonesia,Asia,Maluku,UTC+09:00,,9,2.0,118,35.0,1198.0,46914,1847097,39.37,129.576792,-3.192572,11.37,2024.26,0.0,24.9,2.49,1.23%,80.96%,0.31,0.0
2022-07-26,ID-KS,Kalimantan Selatan,80,1,0,79,85158,2545,82087,526,Province,,Kalimantan Selatan,Indonesia,Asia,Kalimantan,UTC+08:00,,11,2.0,153,144.0,1864.0,38744,4023049,103.84,115.4385783,-2.993594979,19.89,21167.53,0.25,632.6,63.26,2.99%,96.39%,1.9,1.0
2021-05-08,ID-KS,Kalimantan Selatan,108,3,92,13,33572,964,30936,1672,Province,,Kalimantan Selatan,Indonesia,Asia,Kalimantan,UTC+08:00,,11,2.0,153,144.0,1864.0,38744,4023049,103.84,115.4385783,-2.993594979,26.85,8344.91,0.75,239.62,23.96,2.87%,92.15%,0.75,3.0
2021-10-07,ID-JI,Jawa Timur,121,14,189,-82,396294,29487,365849,958,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9.0,666,777.0,7724.0,47803,40479023,846.78,112.7329414,-7.723345579,2.99,9790.11,0.35,728.45,72.85,7.44%,92.32%,0.77,1.75
2021-12-06,ID-JA,Jambi,1,0,0,1,29771,781,28976,14,Province,,Jambi,Indonesia,Asia,Sumatera,UTC+07:00,,9,2.0,141,163.0,1399.0,50058,3493357,69.79,102.7236404,-1.69769766,0.29,8522.18,0.0,223.57,22.36,2.62%,97.33%,,1.0
2020-10-24,ID-SA,Sulawesi Utara,44,1,29,14,5177,196,4347,634,Province,,Sulawesi Utara,Indonesia,Asia,Sulawesi,UTC+08:00,,11,4.0,171,332.0,1507.0,13892,2641884,190.17,124.5212396,1.259638212,16.65,1959.59,0.38,74.19,7.42,3.79%,83.97%,0.98,
2020-10-16,ID-SU,Sumatera Utara,89,3,111,-25,11775,492,9402,1881,Province,,Sumatera Utara,Indonesia,Asia,Sumatera,UTC+07:00,,25,8.0,450,693.0,5417.0,72981,14874889,203.82,99.05196442,2.191894453,5.98,791.6,0.2,33.08,3.31,4.18%,79.85%,0.99,0.75
2022-07-19,ID-KB,Kalimantan Barat,20,0,1,19,64851,1130,63666,55,Province,,Kalimantan Barat,Indonesia,Asia,Kalimantan,UTC+07:00,,12,2.0,174,99.0,2031.0,147307,5422814,36.81,111.1211776,-0.086474572,3.69,11958.92,0.0,208.38,20.84,1.74%,98.17%,2.22,1.0
2020-09-27,ID-RI,Riau,190,6,209,-25,6816,143,3408,3265,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2.0,169,268.0,1591.0,87024,6074100,69.8,101.8051092,0.511647851,31.28,1122.14,0.99,23.54,2.35,2.10%,50.00%,0.73,1.0
